DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA H100 PCIe [0xa32d];3;9;22;22;30000;0;13;9;1;5;0;-1;0;1;0;0;1;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;9;22;32;30000;0;24;9;1;8;0;1;-2;1;0;0;1;0;2;3;0
NVIDIA H100 PCIe [0xa32d];3;10;4;4;30000;0;15;10;1;5;0;-1;0;0;0;0;1;0;3;3;0
NVIDIA H100 PCIe [0xa32d];3;10;4;10;30000;0;1;10;1;3;0;-1;-2;0;0;1;0;0;3;3;0
NVIDIA H100 PCIe [0xa32d];3;10;10;4;30000;0;14;10;1;10;0;1;-1;0;0;1;1;1;2;2;0
NVIDIA H100 PCIe [0xa32d];3;10;10;10;30000;0;18;10;1;4;0;-1;-2;1;0;0;1;1;1;3;0
NVIDIA H100 PCIe [0xa32d];3;13;4;4;30000;0;10;13;1;3;0;1;0;0;0;1;1;0;3;1;0
NVIDIA H100 PCIe [0xa32d];3;13;4;5;30000;0;1;13;1;8;0;-1;2;0;0;1;0;1;3;0;0
NVIDIA H100 PCIe [0xa32d];3;13;4;7;30000;0;12;13;1;6;0;-1;-2;0;0;0;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;13;4;9;30000;0;1;13;1;8;0;-2;1;0;0;1;1;1;3;3;2
NVIDIA H100 PCIe [0xa32d];3;13;4;13;30000;0;1;13;1;11;0;0;2;1;0;1;0;1;3;3;0
NVIDIA H100 PCIe [0xa32d];3;13;4;17;30000;0;1;13;1;5;0;0;2;1;0;1;1;1;3;3;2
NVIDIA H100 PCIe [0xa32d];3;13;4;32;30000;0;22;13;1;2;0;0;-1;1;0;0;1;1;1;3;0
NVIDIA H100 PCIe [0xa32d];3;13;5;4;30000;0;11;13;1;13;0;1;0;1;0;1;1;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;13;5;5;30000;0;14;13;1;7;0;1;0;0;0;0;1;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;13;5;7;30000;0;6;13;1;12;0;0;0;0;0;0;1;1;1;3;0
NVIDIA H100 PCIe [0xa32d];3;13;5;13;30000;0;1;13;1;8;0;-1;-2;1;0;0;1;1;2;3;0
NVIDIA H100 PCIe [0xa32d];3;13;5;17;30000;0;11;13;1;4;0;-1;0;0;0;0;1;0;2;3;0
NVIDIA H100 PCIe [0xa32d];3;13;5;32;30000;0;17;13;1;4;0;-2;-2;0;0;1;1;1;2;3;0
NVIDIA H100 PCIe [0xa32d];3;13;7;4;30000;0;18;13;1;13;0;-2;-1;0;0;0;1;1;1;3;0
NVIDIA H100 PCIe [0xa32d];3;13;7;5;30000;0;10;13;1;4;0;1;0;1;0;1;1;1;2;3;0
NVIDIA H100 PCIe [0xa32d];3;13;7;7;30000;0;14;13;1;9;0;-2;-2;1;0;1;1;1;2;0;0
